row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
9,0,KHALIL SHAKIR,KHALIL,SHAKIR,BUF,WR,7,False,135.0,True,csv,135.0,D,WR,,eae SHAKIR —,,Cw Oe
9,1,JEFF WILSON JR.,JEFF,WILSON JR.,MIA,RB,12,False,82.14285714285714,True,csv,82.14285714285714,RR,RB,8,_ WILLIAMS,— OO ——,
9,2,,,,,TE,1,False,0.0,False,ocr,0.0,TE,TE,1,,—— see,
9,3,JAYDEN REED,JAYDEN,REED,GB,WR,5,False,85.0,True,csv,85.0,WR,WR,8,SEA mr,ee,- ee
9,4,CURTIS SAMUEL,CURTIS,SAMUEL,BUF,WR,7,False,125.0,True,csv,125.0,,WR,19,_ SAMUEL SR.,Lf sane,mm te Ws 0
9,5,CAM SKATTEBO,CAM,SKATTEBO,NYG,RB,14,False,135.0,True,csv,135.0,,RB,,- SKATTEBO |,WU,am
9,6,MICHAEL PITTMAN JR.,MICHAEL,PITTMAN JR.,IND,WR,11,False,130.0,True,csv,130.0,D,WR,67,_ PITTMAN JR.,Cowhs,
9,7,JORDAN ADDISON,JORDAN,ADDISON,MIN,WR,6,False,145.0,True,csv,145.0,R,WR,6,_ ADDISON,,a
9,8,DARNELL MOONEY,DARNELL,MOONEY,ATL,WR,5,False,80.0,True,csv,80.0,,WR,,_ MEYERS —,a,—- FF 7
9,9,JERRY JEUDY,JERRY,JEUDY,CLE,WR,9,False,145.0,True,csv,145.0,R,WR,,_ JEUDY,J GD,wey }
10,0,,,,7,,,False,0.0,False,ocr,0.0,,,,,7,
10,1,DAVID NJOKU,DAVID,NJOKU,CLE,TE,9,False,120.0,True,csv,120.0,,,,— NJOKU ©,oS,
10,2,JORDAN MASON,JORDAN,MASON,MIN,RB,6,False,130.0,True,csv,130.0,,RB,6,MASON |,—_———,
10,3,JACORY CROSKEY-MERRITT,JACORY,CROSKEY-MERRITT,WAS,RB,12,False,72.27272727272727,True,csv,72.27272727272727,RB,RB,,Ce inick,eee,
10,4,RHAMONDRE STEVENSON,RHAMONDRE,STEVENSON,NE,RB,14,False,70.0,True,csv,70.0,RB,,,NE NOON,=,
10,5,JAVON BAKER,JAVON,BAKER,PHI,WR,9,False,75.0,True,csv,75.0,WR,WR,,ae) REED :,,yp wwere sg
10,6,CAMERON DICKER,CAMERON,DICKER,LAC,K,12,False,125.0,True,csv,125.0,,K,1,__ DICKER,i) vad,5S S26
10,7,JAUAN JENNINGS,JAUAN,JENNINGS,SF,WR,14,False,145.0,True,csv,145.0,SR,WR,14,_ JENNINGS,' ww Ss,ee . :
10,8,BRANDON AUBREY,BRANDON,AUBREY,DAL,K,10,False,125.0,True,csv,125.0,,K,32,_ AUBREY —,re th,oO
10,9,EVAN ENGRAM,EVAN,ENGRAM,DEN,TE,12,False,128.33333333333331,True,csv,128.33333333333331,T,TE,,5 ENGRay,a,fan
11,0,THEO WEASE JR.,THEO,WEASE JR.,MIA,WR,12,False,57.142857142857146,True,csv,57.142857142857146,,,,ase a ane,(Be rrr,BT
11,1,DENVER BRONCOS,,DENVER BRONCOS,DEN,DST,12,True,118.88888888888889,True,csv,118.88888888888889,,DST,1,- DENVER BRONCC,VEIV,ee
11,2,BRAELON ALLEN,BRAELON,ALLEN,NYJ,RB,9,False,99.54545454545455,True,csv,99.54545454545455,RB,RB,8,ari EN,|,—
11,3,TREVOR LAWRENCE,TREVOR,LAWRENCE,JAC,QB,8,False,62.857142857142854,True,csv,62.857142857142854,QB,,8,ARP ey,————_ ~~ +:,wr co
11,4,BALTIMORE RAVENS,,BALTIMORE RAVENS,BAL,DST,7,True,101.92307692307692,True,csv,101.92307692307692,BS,DST,7,BAL RAVENS,|,Ea
11,5,ADAM THIELEN,ADAM,THIELEN,MIN,WR,6,False,95.58823529411765,True,csv,95.58823529411765,WR,WR,1,an PHIELEN,heme,25655 ; ;
11,6,JAYLEN WRIGHT,JAYLEN,WRIGHT,MIA,RB,12,False,79.54545454545455,True,csv,79.54545454545455,,RB,,WHITE ©,ne,—
11,7,—_—,—_—,,—,RB,,False,0.0,False,ocr,0.0,,RB,,,—,—_—
11,8,TREY BENSON,TREY,BENSON,ARI,RB,8,False,77.85714285714286,True,csv,77.85714285714286,RB,RB,6,owt earn,eS,ee «
11,9,RAY DAVIS,RAY,DAVIS,BUF,RB,7,False,63.57142857142857,True,csv,63.57142857142857,,RB,,_é vo,,
12,0,AUSTIN EKELER,AUSTIN,EKELER,WAS,RB,12,False,56.36363636363637,True,csv,56.36363636363637,,,6,Se ve,2,~
12,1,JAYDON BLUE,JAYDON,BLUE,DAL,RB,10,False,81.15384615384616,True,csv,81.15384615384616,,RB,,RB B1UE ws,DAL,"yoo"""
12,2,JALEN COKER,JALEN,COKER,CAR,WR,14,False,75.0,True,csv,75.0,WR,WR,7,RE Kenn,4,
12,3,GREEN BAY PACKERS,,GREEN BAY PACKERS,GB,DST,5,True,68.47826086956522,True,csv,68.47826086956522,,DST,,err ee,ry,
